year,major,on_campus,main_reason_for_taking_isb,trips_per_day,duration_per_day,date,has_exam,start,end,bus_num,time,weather,num_people_at_bus_stop,waiting_time,waiting_time_satisfaction,crowdedness,crowdedness_satisfaction,comfort,safety,overall_satisfaction
Year 4,history,No,To go to class,2,22,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 07:50:00,Sunny,25,4,8,8,7,7,7,7
Year 4,engineering,No,To go to class,3,15,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A1,1900-01-01 10:00:00,Sunny,10,2,8,5,7,7,8,8
Year 4,biomedical engineering,No,To go to class,4,20,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:30:00,Sunny,30,12,2,7,3,3,6,3
Year 2,quantitative finance,No,To go to class,3,30,2024-10-02,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 08:50:00,Sunny,30,1,10,8,7,6,10,7
Year 4,data science and analytics,No,To go to MRT,2,10,2024-10-01,No,UHC / Opp UHC,LT27 / S17,D2,1900-01-01 15:45:00,Sunny,30,5,6,9,2,6,6,6
Year 3,environmental studies,No,To go to class,2,7,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 11:45:00,Sunny,30,8,1,8,4,4,5,5
Year 3,life sciences,No,To go to class,2,10,2024-10-01,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 11:48:00,Rainy,10,3,8,5,8,8,8,9
Year 4,psychology,No,To go to class,3,15,2024-10-02,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 09:00:00,Sunny,30,13,2,10,2,2,3,2
Year 3,data science and analytics,No,To go to class,3,30,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 13:10:00,Sunny,15,6,5,7,5,6,8,7
Year 3,statistics,No,To go to class,1,5,2024-10-02,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,A2,1900-01-01 18:00:00,Sunny,10,5,5,6,6,5,5,5
Year 4,engineering - material science and engineering,No,To go to class,2,15,2024-10-02,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 08:10:00,Sunny,15,1,10,2,9,10,10,10
Year 4,materials science and engineering,No,To go to class,2,12,2024-10-02,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 07:53:00,Sunny,15,5,7,5,8,9,9,8
Year 3,data science and analytics,No,To go to class,2,40,2024-10-03,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,1900-01-01 10:30:00,Sunny,60,3,8,10,3,5,9,7
Year 3,data science and analytics,No,To go to class,4,40,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,COM3,D2,1900-01-01 12:30:00,Rainy,15,6,5,6,7,7,8,8
Year 3,life sciences,No,To go for meals,0,15,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D2,1900-01-01 09:30:00,Sunny,50,10,4,10,2,3,7,5
Year 4,data science n psychology,No,To go to MRT,2,5,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,D2,1900-01-01 18:24:00,Sunny,10,0,9,5,9,10,10,10
Year 3,data science and analytics,No,To go to class,2,30,2024-10-03,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,1900-01-01 10:40:00,Sunny,40,8,6,6,4,5,7,7
Year 3,data science and analytics,No,To go to class,4,25,2024-10-03,Yes,LT27 / S17,UHC / Opp UHC,D2,1900-01-01 18:00:00,Sunny,25,2,8,7,4,6,8,6
Year 3,data science and analytics,No,To go to class,3,30,2024-10-04,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT13 / Ventus,A2,1900-01-01 09:20:00,Sunny,15,6,6,3,8,8,9,8
