Timestamp,What year of study are you in?,What major are you studying?,Do you stay on campus?,"In general, what is the main reason that you take the school bus?","On a normal school day, how many times do you take the school bus? Please enter a non-negative integer.","On a normal school day, how long do you spend riding the school bus in total (in minutes)? This does not include the time you spend waiting for the bus.",Please enter today's date.,Do you have an exam today?,Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Which bus stop did you board the bus from?,Which bus stop did you alight at?,Which bus did you take?,What time of day did this trip take place?,What was the weather like during your trip?,"When you were boarding the bus, approximately how many people were at the bus stop? Please enter a non-negative integer.",How long did you have to wait for the bus (in minutes)? Please account for missed buses.,"With regards to waiting time, how satisfied are you with the trip?","On a scale from 1 to 10, how crowded was the bus?","With regards to crowdedness, how satisfied are you with the trip?","On a scale from 1 to 10, how comfortable was the trip for you?","On a scale from 1 to 10, how safe was the trip for you?","On a scale from 1 to 10, how satisfied are you with the trip overall?",Are there any other factors that influence how satisfied you are with the NUS bus system?
9/27/2024 15:46:55,Year 4,Environmental Studies,Yes,To go to class,4,30,9/19/2024,No,UTown,LT27 / S17,D2,3:30:00 AM,Sunny,50,15,4,8,5,3,7,5,LT27 / S17,UTown,D2,5:40:00 AM,Sunny,100,20,2,10,3,4,6,4,if the bus timing on the app is accurate
9/27/2024 17:04:22,Year 3,DSA,No,To go to class,3,30,9/27/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,10:30:00 AM,Sunny,10,8,5,3,8,5,9,6,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,5:00:00 PM,Sunny,20,10,4,7,6,7,7,5,"sharp turns, start or brake"
9/27/2024 17:19:57,Year 3,Dentistry,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,20,9/25/2024,Yes,UTown,Kent Ridge MRT / Opp Kent Ridge MRT,D2,7:30:00 AM,Rainy,60,10,8,7,8,6,7,7,Kent Ridge MRT / Opp Kent Ridge MRT,UTown,D2,4:30:00 PM,Sunny,70,30,6,7,7,6,7,5,No
9/27/2024 17:23:02,Year 3,Dentistry,No,To go for meals,1,20,9/24/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,IT / CLB,A1,5:00:00 PM,Sunny,30,30,9,7,6,6,5,4,LT27 / S17,Kent Ridge MRT / Opp Kent Ridge MRT,D1,2:00:00 PM,Rainy,30,5,7,8,8,8,8,7,Nil
9/27/2024 17:38:51,Year 2,DSA,Yes,"To go to in-school accommodation (halls, RCs, houses etc.)",2,10,10/1/2024,Yes,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,9:00:00 PM,Sunny,10,5,8,3,8,8,8,8,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A2,8:30:00 PM,Sunny,10,5,8,2,8,7,8,8,Air-Con
9/27/2024 17:59:57,Year 2,DSA,No,To go to CCA sessions,4,18,9/27/2024,No,UTown,UHC / Opp UHC,D2,3:00:00 PM,Sunny,15,5,7,5,7,6,6,6,UHC / Opp UHC,UTown,D2,8:00:00 PM,Sunny,6,5,7,3,7,7,7,7,Air con
9/27/2024 20:55:53,Year 1,Mathematics,Yes,To go to class,4,30,9/27/2024,No,LT27 / S17,IT / CLB,A1,3:30:00 PM,Sunny,50,8,7,8,5,4,7,6,IT / CLB,UTown,D1,5:30:00 PM,Sunny,100,9,6,9,4,3,7,4,N/A
9/27/2024 22:26:01,Year 2,Data Science and Analytics,Yes,To go to class,2,15,10/1/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,BIZ2 / Opp HSSML,A1,10:00:00 AM,Sunny,20,8,6,6,5,5,5,5,BIZ2 / Opp HSSML,Kent Ridge MRT / Opp Kent Ridge MRT,A1,4:00:00 PM,Sunny,5,5,9,2,9,9,8,8,Whether the driver greets us
9/28/2024 11:04:34,Year 3,Data Science,Yes,To go to class,2,15,9/18/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,LT27 / S17,D1,9:45:00 AM,Sunny,25,15,4,9,4,5,5,5,UHC / Opp UHC,UTown,D2,1:30:00 PM,Sunny,5,3,9,4,7,9,7,7,NIL
9/28/2024 11:22:19,Year 1,Law,No,To go to class,2,30,9/28/2024,No,Kent Ridge MRT / Opp Kent Ridge MRT,UHC / Opp UHC,A1,8:30:00 AM,Sunny,20,10,6,8,4,6,8,7,UHC / Opp UHC,Kent Ridge MRT / Opp Kent Ridge MRT,A1,10:30:00 AM,Sunny,4,10,7,4,8,8,8,8,"Like how public buses require passengers to tap a card, our buses could have a feature where it detects a student card"
